theta,CMM,CTM,CNM,CδM,CψM,CQM,CMT,CTT,CNT,CδT,CψT,CQT,CMN,CTN,CNN,CδN,CψN,CQN,d
0.0,-0.5,0.0,0.475,0.0,0.0,0.16,0.0,0.5,0.24,0.0,0.16,0.48,-0.235,0.24,0.5,0.3,0.0,0.0,0
5.0,-0.455,0.025,0.47,0.0,0.0,0.16,0.02,0.477,0.203,-0.03,0.16,0.48,-0.195,0.28,0.477,0.3,0.0,0.03,0
10.0,-0.415,0.05,0.465,0.0,0.0,0.16,0.037,0.45,0.155,-0.06,0.16,0.477,-0.155,0.32,0.45,0.3,0.0,0.06,0
15.0,-0.375,0.08,0.46,0.0,0.0,0.16,0.047,0.422,0.115,-0.09,0.16,0.47,-0.115,0.35,0.422,0.3,0.0,0.09,0
20.0,-0.335,0.11,0.455,0.0,0.0,0.16,0.055,0.395,0.08,-0.11,0.16,0.46,-0.08,0.375,0.395,0.29,0.0,0.11,0
25.0,-0.295,0.135,0.45,0.0,0.0,0.16,0.061,0.355,0.047,-0.14,0.16,0.45,-0.047,0.395,0.355,0.29,0.0,0.14,0
30.0,-0.258,0.16,0.44,0.0,0.0,0.16,0.064,0.326,0.02,-0.17,0.16,0.44,-0.018,0.415,0.326,0.29,0.0,0.17,0
35.0,-0.225,0.18,0.425,0.0,0.0,0.16,0.064,0.29,-0.006,-0.19,0.16,0.425,0.01,0.423,0.29,0.28,0.0,0.19,0
40.0,-0.188,0.2,0.41,0.0,0.0,0.16,0.062,0.25,-0.03,-0.2,0.16,0.405,0.033,0.434,0.25,0.27,0.0,0.2,0
45.0,-0.153,0.225,0.38,0.0,0.0,0.16,0.059,0.215,-0.05,-0.23,0.16,0.39,0.052,0.436,0.215,0.26,0.0,0.23,0
50.0,-0.12,0.24,0.36,0.0,0.0,0.16,0.054,0.175,-0.065,-0.25,0.16,0.365,0.068,0.432,0.175,0.24,0.0,0.25,0
55.0,-0.088,0.255,0.34,0.0,0.0,0.16,0.047,0.135,-0.078,-0.26,0.16,0.341,0.082,0.42,0.135,0.22,0.0,0.26,0
60.0,-0.058,0.27,0.32,0.0,0.0,0.16,0.04,0.1,-0.089,-0.28,0.16,0.32,0.09,0.41,0.1,0.2,0.0,0.28,0
65.0,-0.03,0.28,0.29,0.0,0.0,0.16,0.033,0.065,-0.096,-0.29,0.16,0.295,0.097,0.39,0.065,0.17,0.0,0.29,0
70.0,-0.006,0.29,0.27,0.0,0.0,0.16,0.024,0.03,-0.1,-0.3,0.16,0.27,0.101,0.362,0.03,0.14,0.0,0.3,0
75.0,0.015,0.3,0.25,0.0,0.0,0.16,0.016,0.0,-0.102,-0.31,0.16,0.24,0.102,0.345,0.0,0.11,0.0,0.31,0
80.0,0.037,0.305,0.22,0.0,0.0,0.16,0.006,-0.03,-0.1,-0.315,0.16,0.218,0.101,0.31,-0.03,0.08,0.0,0.315,0
85.0,0.053,0.308,0.19,0.0,0.0,0.16,-0.002,-0.055,-0.096,-0.318,0.16,0.19,0.097,0.28,-0.055,0.04,0.0,0.318,0
90.0,0.068,0.31,0.16,0.0,0.0,0.16,-0.011,-0.08,-0.091,-0.32,0.16,0.16,0.091,0.25,-0.08,0.0,0.0,0.32,0
95.0,0.08,0.308,0.14,0.0,0.0,0.16,-0.019,-0.1,-0.083,-0.318,0.16,0.13,0.084,0.215,-0.1,-0.04,0.0,0.318,0
100.0,0.09,0.305,0.11,0.0,0.0,0.16,-0.026,-0.115,-0.075,-0.315,0.16,0.1,0.075,0.18,-0.115,-0.08,0.0,0.315,0
105.0,0.098,0.3,0.075,0.0,0.0,0.16,-0.032,-0.128,-0.063,-0.31,0.16,0.075,0.063,0.145,-0.128,-0.11,0.0,0.31,0
110.0,0.103,0.29,0.05,0.0,0.0,0.16,-0.036,-0.14,-0.05,-0.3,0.16,0.05,0.054,0.11,-0.14,-0.14,0.0,0.3,0
115.0,0.107,0.28,0.025,0.0,0.0,0.16,-0.04,-0.148,-0.037,-0.29,0.16,0.023,0.042,0.07,-0.148,-0.17,0.0,0.29,0
120.0,0.108,0.27,0.0,0.0,0.0,0.16,-0.043,-0.152,-0.025,-0.28,0.16,0.0,0.027,0.03,-0.152,-0.2,0.0,0.28,0
125.0,0.107,0.255,-0.025,0.0,0.0,0.16,-0.045,-0.152,-0.012,-0.26,0.16,-0.022,0.015,-0.007,-0.152,-0.22,0.0,0.26,0
130.0,0.102,0.24,-0.05,0.0,0.0,0.16,-0.045,-0.15,0.002,-0.25,0.16,-0.043,0.0,-0.04,-0.15,-0.24,0.0,0.25,0
135.0,0.099,0.22,-0.06,0.0,0.0,0.16,-0.045,-0.145,0.015,-0.23,0.16,-0.065,-0.013,-0.07,-0.145,-0.26,0.0,0.23,0
140.0,0.092,0.2,-0.08,0.0,0.0,0.16,-0.043,-0.135,0.025,-0.2,0.16,-0.082,-0.026,-0.103,-0.135,-0.27,0.0,0.2,0
145.0,0.085,0.18,-0.1,0.0,0.0,0.16,-0.04,-0.125,0.037,-0.19,0.16,-0.1,-0.037,-0.135,-0.125,-0.28,0.0,0.19,0
150.0,0.076,0.16,-0.12,0.0,0.0,0.16,-0.036,-0.11,0.048,-0.17,0.16,-0.115,-0.048,-0.16,-0.11,-0.29,0.0,0.17,0
155.0,0.065,0.135,-0.13,0.0,0.0,0.16,-0.031,-0.095,0.057,-0.14,0.16,-0.127,-0.057,-0.181,-0.095,-0.29,0.0,0.14,0
160.0,0.052,0.11,-0.14,0.0,0.0,0.16,-0.026,-0.08,0.065,-0.11,0.16,-0.139,-0.065,-0.2,-0.08,-0.29,0.0,0.11,0
165.0,0.042,0.08,-0.145,0.0,0.0,0.16,-0.02,-0.06,0.072,-0.09,0.16,-0.145,-0.07,-0.218,-0.06,-0.3,0.0,0.09,0
170.0,0.03,0.05,-0.15,0.0,0.0,0.16,-0.014,-0.04,0.076,-0.06,0.16,-0.15,-0.075,-0.225,-0.04,-0.3,0.0,0.06,0
175.0,0.015,0.025,-0.155,0.0,0.0,0.16,-0.007,-0.02,0.078,-0.03,0.16,-0.158,-0.077,-0.235,-0.02,-0.3,0.0,0.03,0
180.0,0.0,0.0,-0.155,0.0,0.0,0.16,0.0,0.0,0.079,0.0,0.16,-0.16,-0.08,-0.24,0.0,-0.3,0.0,0.0,0
0.0,-0.5,0.0,0.56,0.0,1.5,-0.25,0.0,0.5,0.21,0.0,-0.25,0.56,-0.21,0.35,0.5,0.075,0.0,0.0,10
5.0,-0.45,0.06,0.55,0.1,1.1,-0.24,0.017,0.47,0.17,-0.05,-0.24,0.553,-0.17,0.37,0.47,0.07,-0.1,0.05,10
10.0,-0.4,0.11,0.54,0.3,0.81,-0.22,0.03,0.432,0.13,-0.11,-0.22,0.545,-0.135,0.4,0.432,0.06,-0.3,0.11,10
15.0,-0.355,0.17,0.53,0.45,0.55,-0.2,0.041,0.4,0.093,-0.17,-0.2,0.535,-0.095,0.43,0.4,0.055,-0.45,0.17,10
20.0,-0.31,0.21,0.52,0.5,0.32,-0.15,0.048,0.36,0.06,-0.21,-0.15,0.52,-0.065,0.445,0.36,0.05,-0.5,0.21,10
25.0,-0.265,0.25,0.5,0.55,0.17,-0.11,0.051,0.32,0.033,-0.25,-0.11,0.498,-0.032,0.459,0.32,0.05,-0.55,0.25,10
30.0,-0.222,0.29,0.47,0.6,0.05,-0.07,0.053,0.281,0.006,-0.3,-0.07,0.472,-0.005,0.46,0.281,0.04,-0.6,0.3,10
35.0,-0.185,0.325,0.44,0.55,-0.05,-0.02,0.052,0.245,-0.015,-0.33,-0.02,0.445,0.017,0.455,0.245,0.035,-0.55,0.33,10
40.0,-0.15,0.35,0.42,0.5,-0.12,0.02,0.05,0.202,-0.034,-0.36,0.02,0.42,0.035,0.442,0.202,0.025,-0.5,0.36,10
45.0,-0.115,0.37,0.38,0.45,-0.16,0.08,0.047,0.165,-0.047,-0.375,0.08,0.38,0.05,0.43,0.165,0.025,-0.45,0.375,10
50.0,-0.082,0.38,0.35,0.3,-0.17,0.13,0.042,0.13,-0.06,-0.39,0.13,0.34,0.061,0.4,0.13,0.02,-0.3,0.39,10
55.0,-0.055,0.4,0.32,0.2,-0.16,0.18,0.037,0.095,-0.072,-0.4,0.18,0.31,0.07,0.373,0.095,0.01,-0.2,0.4,10
60.0,-0.028,0.4,0.27,0.15,-0.14,0.24,0.03,0.06,-0.077,-0.395,0.24,0.28,0.076,0.35,0.06,0.0,-0.15,0.395,10
65.0,-0.005,0.38,0.24,0.1,-0.11,0.29,0.023,0.03,-0.081,-0.39,0.29,0.24,0.08,0.32,0.03,0.0,-0.1,0.39,10
70.0,0.015,0.375,0.2,0.05,-0.08,0.34,0.016,0.0,-0.082,-0.38,0.34,0.205,0.082,0.29,0.0,-0.01,-0.05,0.38,10
75.0,0.032,0.365,0.175,0.03,-0.05,0.37,0.009,-0.025,-0.081,-0.37,0.37,0.17,0.081,0.26,-0.025,-0.02,-0.03,0.37,10
80.0,0.048,0.35,0.15,0.01,-0.03,0.39,0.002,-0.047,-0.078,-0.35,0.39,0.14,0.079,0.22,-0.047,-0.02,-0.01,0.35,10
85.0,0.06,0.325,0.12,0.0,0.0,0.4,-0.005,-0.065,-0.074,-0.32,0.4,0.11,0.074,0.19,-0.065,-0.025,0.0,0.32,10
90.0,0.07,0.3,0.1,-0.002,0.02,0.39,-0.012,-0.08,-0.067,-0.3,0.39,0.085,0.068,0.16,-0.08,-0.025,0.002,0.3,10
95.0,0.074,0.275,0.065,-0.006,0.03,0.35,-0.016,-0.09,-0.06,-0.275,0.35,0.06,0.06,0.12,-0.09,-0.025,0.006,0.275,10
100.0,0.078,0.25,0.05,-0.011,0.04,0.3,-0.021,-0.1,-0.051,-0.25,0.3,0.04,0.051,0.09,-0.1,-0.025,0.011,0.25,10
105.0,0.08,0.225,0.025,-0.016,0.04,0.25,-0.025,-0.106,-0.043,-0.22,0.25,0.02,0.042,0.06,-0.106,-0.03,0.016,0.22,10
110.0,0.081,0.2,0.0,-0.019,0.03,0.22,-0.029,-0.11,-0.033,-0.2,0.22,0.0,0.034,0.04,-0.11,-0.03,0.019,0.2,10
115.0,0.081,0.175,-0.02,-0.02,0.02,0.19,-0.031,-0.112,-0.023,-0.18,0.19,-0.01,0.023,0.01,-0.112,-0.04,0.02,0.18,10
120.0,0.08,0.15,-0.025,-0.021,0.01,0.16,-0.033,-0.11,-0.014,-0.15,0.16,-0.025,0.014,-0.015,-0.11,-0.04,0.021,0.15,10
125.0,0.077,0.125,-0.05,-0.021,0.0,0.14,-0.034,-0.109,-0.004,-0.13,0.14,-0.038,0.003,-0.035,-0.109,-0.03,0.021,0.13,10
130.0,0.072,0.1,-0.06,-0.018,0.0,0.12,-0.034,-0.105,0.005,-0.12,0.12,-0.05,-0.006,-0.058,-0.105,-0.03,0.018,0.12,10
135.0,0.067,0.08,-0.065,-0.014,0.0,0.1,-0.033,-0.1,0.013,-0.1,0.1,-0.06,-0.015,-0.075,-0.1,-0.03,0.014,0.1,10
140.0,0.06,0.07,-0.075,-0.01,0.0,0.085,-0.032,-0.092,0.022,-0.08,0.085,-0.065,-0.025,-0.09,-0.092,-0.03,0.01,0.08,10
145.0,0.054,0.06,-0.08,-0.005,0.0,0.07,-0.03,-0.084,0.03,-0.06,0.07,-0.075,-0.032,-0.107,-0.084,-0.03,0.005,0.06,10
150.0,0.048,0.05,-0.085,-0.001,0.0,0.06,-0.027,-0.072,0.036,-0.05,0.06,-0.08,-0.038,-0.12,-0.072,-0.03,0.001,0.05,10
155.0,0.04,0.045,-0.09,0.0,0.0,0.05,-0.023,-0.063,0.042,-0.04,0.05,-0.085,-0.044,-0.13,-0.063,-0.03,0.0,0.04,10
160.0,0.033,0.045,-0.095,0.0,0.0,0.04,-0.019,-0.05,0.047,-0.03,0.04,-0.09,-0.048,-0.14,-0.05,-0.03,0.0,0.03,10
165.0,0.025,0.04,-0.1,0.0,0.0,0.03,-0.015,-0.04,0.05,-0.02,0.03,-0.092,-0.053,-0.147,-0.04,-0.03,0.0,0.02,10
170.0,0.017,0.025,-0.105,0.0,0.0,0.02,-0.01,-0.028,0.054,-0.01,0.02,-0.095,-0.055,-0.15,-0.028,-0.03,0.0,0.01,10
175.0,0.008,0.015,-0.1,0.0,0.0,0.01,-0.005,-0.013,0.055,-0.005,0.01,-0.098,-0.057,-0.155,-0.013,-0.03,0.0,0.005,10
180.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,-0.1,-0.058,-0.158,0.0,-0.03,0.0,0.0,10
0.0,-0.5,0.0,0.69,0.0,6.5,-0.8,0.0,0.5,0.17,0.0,-0.8,0.7,-0.17,0.52,0.5,1.44,0.0,0.0,50
5.0,-0.435,0.125,0.68,0.5,4.8,-0.75,0.015,0.45,0.135,-0.15,-0.75,0.69,-0.135,0.55,0.45,1.3,-0.5,0.15,50
10.0,-0.38,0.25,0.67,1.0,3.4,-0.6,0.024,0.4,0.1,-0.25,-0.6,0.68,-0.1,0.575,0.4,1.25,-1.0,0.25,50
15.0,-0.325,0.35,0.645,1.3,1.8,-0.5,0.03,0.35,0.065,-0.35,-0.5,0.65,-0.07,0.58,0.35,1.15,-1.3,0.35,50
20.0,-0.27,0.44,0.61,1.6,1.0,-0.4,0.035,0.3,0.035,-0.44,-0.4,0.61,-0.04,0.578,0.3,1.0,-1.6,0.44,50
25.0,-0.218,0.5,0.57,1.8,0.2,-0.25,0.036,0.25,0.01,-0.5,-0.25,0.57,-0.015,0.558,0.25,0.8,-1.8,0.5,50
30.0,-0.165,0.55,0.53,1.9,-0.3,-0.1,0.036,0.207,-0.01,-0.56,-0.1,0.53,0.007,0.53,0.207,0.6,-1.9,0.56,50
35.0,-0.125,0.6,0.47,1.8,-0.7,0.1,0.034,0.165,-0.027,-0.6,0.1,0.48,0.023,0.495,0.165,0.4,-1.8,0.6,50
40.0,-0.085,0.625,0.43,1.5,-0.9,0.25,0.032,0.12,-0.04,-0.625,0.25,0.42,0.035,0.46,0.12,0.25,-1.5,0.625,50
45.0,-0.05,0.63,0.36,1.35,-1.0,0.35,0.029,0.08,-0.048,-0.63,0.35,0.36,0.045,0.41,0.08,0.0,-1.35,0.63,50
50.0,-0.022,0.625,0.3,1.1,-1.1,0.5,0.024,0.05,-0.054,-0.62,0.5,0.3,0.052,0.36,0.05,-0.2,-1.1,0.62,50
55.0,0.0,0.61,0.25,0.9,-1.0,0.55,0.019,0.018,-0.056,-0.6,0.55,0.25,0.056,0.31,0.018,-0.3,-0.9,0.6,50
60.0,0.02,0.55,0.2,0.5,-0.9,0.6,0.014,-0.008,-0.056,-0.57,0.6,0.2,0.057,0.26,-0.008,-0.45,-0.5,0.57,50
65.0,0.037,0.53,0.15,0.25,-0.8,0.65,0.009,-0.03,-0.054,-0.525,0.65,0.15,0.056,0.21,-0.03,-0.5,-0.25,0.525,50
70.0,0.048,0.48,0.11,0.05,-0.6,0.68,0.004,-0.047,-0.05,-0.48,0.68,0.11,0.054,0.17,-0.047,-0.55,-0.05,0.48,50
75.0,0.053,0.425,0.075,-0.1,-0.4,0.7,0.0,-0.053,-0.047,-0.42,0.7,0.07,0.05,0.12,-0.053,-0.59,0.1,0.42,50
80.0,0.058,0.37,0.04,-0.2,-0.2,0.7,-0.003,-0.065,-0.042,-0.37,0.7,0.03,0.045,0.08,-0.066,-0.6,0.2,0.37,50
85.0,0.06,0.3,0.0,-0.3,-0.1,0.68,-0.007,-0.068,-0.036,-0.3,0.68,0.0,0.037,0.05,-0.068,-0.6,0.3,0.3,50
90.0,0.06,0.25,-0.02,-0.35,0.0,0.65,-0.01,-0.069,-0.03,-0.24,0.65,-0.015,0.032,0.015,-0.069,-0.59,0.35,0.24,50
95.0,0.057,0.18,-0.04,-0.38,0.13,0.6,-0.012,-0.07,-0.025,-0.2,0.6,-0.033,0.025,-0.015,-0.07,-0.55,0.38,0.2,50
100.0,0.054,0.14,-0.05,-0.4,0.18,0.55,-0.014,-0.068,-0.018,-0.14,0.55,-0.048,0.02,-0.03,-0.068,-0.5,0.4,0.14,50
105.0,0.05,0.07,-0.06,-0.43,0.2,0.5,-0.016,-0.063,-0.012,-0.08,0.5,-0.06,0.014,-0.05,-0.063,-0.48,0.43,0.08,50
110.0,0.042,0.04,-0.065,-0.45,0.18,0.45,-0.016,-0.06,-0.007,-0.04,0.45,-0.063,0.009,-0.06,-0.06,-0.4,0.45,0.04,50
115.0,0.036,0.0,-0.07,-0.47,0.16,0.425,-0.017,-0.05,-0.002,0.0,0.425,-0.068,0.002,-0.07,-0.05,-0.3,0.47,0.0,50
120.0,0.03,-0.04,-0.07,-0.49,0.1,0.38,-0.017,-0.047,0.003,0.03,0.38,-0.07,-0.002,-0.072,-0.047,-0.25,0.49,-0.03,50
125.0,0.025,-0.06,-0.065,-0.5,0.06,0.35,-0.017,-0.043,0.007,0.06,0.35,-0.063,-0.007,-0.07,-0.043,-0.2,0.5,-0.06,50
130.0,0.02,-0.08,-0.06,-0.47,0.0,0.3,-0.016,-0.036,0.01,0.08,0.3,-0.06,-0.01,-0.065,-0.036,-0.1,0.47,-0.08,50
135.0,0.015,-0.095,-0.05,-0.43,0.0,0.25,-0.015,-0.03,0.012,0.09,0.25,-0.055,-0.013,-0.06,-0.03,-0.05,0.43,-0.09,50
140.0,0.01,-0.1,-0.04,-0.4,0.0,0.21,-0.014,-0.025,0.015,0.1,0.21,-0.04,-0.015,-0.055,-0.025,0.0,0.4,-0.1,50
145.0,0.008,-0.11,-0.03,-0.35,0.0,0.17,-0.012,-0.02,0.017,0.11,0.17,-0.03,-0.017,-0.05,-0.02,0.0,0.35,-0.11,50
150.0,0.005,-0.1,-0.023,-0.3,0.0,0.13,-0.011,-0.015,0.018,0.1,0.13,-0.024,-0.019,-0.04,-0.015,0.0,0.3,-0.1,50
155.0,0.003,-0.09,-0.018,-0.25,0.0,0.09,-0.009,-0.011,0.019,0.08,0.09,-0.019,-0.02,-0.035,-0.011,0.0,0.25,-0.08,50
160.0,0.001,-0.08,-0.01,-0.21,0.0,0.05,-0.007,-0.008,0.02,0.07,0.05,-0.013,-0.021,-0.03,-0.008,0.0,0.21,-0.07,50
165.0,0.0,-0.065,-0.005,-0.17,0.0,0.02,-0.005,-0.005,0.021,0.06,0.02,-0.007,-0.021,-0.025,-0.005,0.0,0.17,-0.06,50
170.0,0.0,-0.05,0.0,-0.14,0.0,-0.01,-0.004,-0.002,0.021,0.04,-0.01,-0.002,-0.022,-0.021,-0.002,0.0,0.14,-0.04,50
175.0,0.0,-0.02,0.003,-0.1,0.0,-0.03,-0.002,-0.001,0.022,0.02,-0.03,-0.001,-0.022,-0.02,-0.001,0.0,0.1,-0.02,50
180.0,0.0,0.0,0.005,0.0,0.0,-0.04,0.0,0.0,0.022,0.0,-0.04,0.0,-0.022,-0.02,0.0,0.0,0.0,0.0,50
0.0,-0.5,0.0,0.77,0.0,12.2,-1.1,0.0,0.5,0.155,0.0,-1.1,0.77,-0.15,0.62,0.5,1.9,0.0,0.0,100
5.0,-0.43,0.17,0.76,1.0,9.3,-1.05,0.012,0.445,0.115,-0.18,-1.05,0.76,-0.113,0.645,0.445,1.85,-1.0,0.18,100
10.0,-0.36,0.33,0.74,2.0,6.4,-0.92,0.02,0.39,0.077,-0.33,-0.92,0.74,-0.077,0.66,0.39,1.75,-2.0,0.33,100
15.0,-0.3,0.47,0.72,2.5,3.2,-0.73,0.025,0.33,0.045,-0.47,-0.73,0.703,-0.047,0.66,0.33,1.55,-2.5,0.47,100
20.0,-0.24,0.58,0.66,2.8,0.6,-0.5,0.028,0.27,0.017,-0.6,-0.5,0.66,-0.02,0.64,0.27,1.25,-2.8,0.6,100
25.0,-0.19,0.67,0.61,2.85,0.0,-0.3,0.029,0.215,-0.003,-0.67,-0.3,0.605,0.0,0.61,0.215,1.0,-2.85,0.675,100
30.0,-0.14,0.74,0.54,2.8,-1.4,-0.05,0.028,0.165,-0.02,-0.73,-0.05,0.55,0.017,0.57,0.165,0.6,-2.8,0.73,100
35.0,-0.095,0.77,0.46,2.5,-2.0,0.17,0.026,0.12,-0.032,-0.76,0.17,0.49,0.03,0.52,0.12,0.4,-2.5,0.76,100
