theta,CMM,CTM,CNM,CδM,CψM,CQM,CMT,CTT,CNT,CδT,CψT,CQT,CMN,CTN,CNN,CδN,CψN,CQN,d
40.0,-0.06,0.78,0.4,2.2,-2.1,0.4,0.023,0.08,-0.04,-0.78,0.4,0.42,0.04,0.46,0.08,0.0,-2.2,0.78,100
45.0,-0.022,0.775,0.34,1.8,-2.2,0.58,0.019,0.045,-0.046,-0.77,0.58,0.35,0.045,0.39,0.045,-0.2,-1.8,0.77,100
50.0,0.002,0.75,0.26,1.4,-2.2,0.68,0.015,0.011,-0.048,-0.74,0.68,0.28,0.046,0.32,0.011,-0.4,-1.4,0.74,100
55.0,0.025,0.7,0.21,0.9,-2.1,0.82,0.011,-0.017,-0.047,-0.7,0.82,0.22,0.045,0.26,-0.017,-0.6,-0.9,0.7,100
60.0,0.04,0.65,0.15,0.5,-1.9,0.93,0.006,-0.032,-0.045,-0.64,0.93,0.16,0.044,0.2,-0.032,-0.75,-0.5,0.64,100
65.0,0.052,0.57,0.1,0.1,-1.6,0.98,0.003,-0.048,-0.042,-0.58,0.98,0.11,0.041,0.14,-0.048,-0.8,-0.1,0.58,100
70.0,0.06,0.5,0.05,-0.2,-1.2,1.0,0.0,-0.06,-0.036,-0.5,1.0,0.06,0.036,0.085,-0.06,-0.85,0.2,0.5,100
75.0,0.062,0.43,0.02,-0.5,-0.66,0.98,-0.003,-0.066,-0.032,-0.43,0.98,0.01,0.032,0.045,-0.066,-0.9,0.5,0.43,100
80.0,0.062,0.35,0.02,-0.7,-0.3,0.92,-0.005,-0.07,-0.025,-0.35,0.92,-0.02,0.025,0.0,-0.07,-0.9,0.7,0.35,100
85.0,0.06,0.25,-0.05,-0.9,0.0,0.83,-0.007,-0.067,-0.02,-0.26,0.83,-0.05,0.02,-0.03,-0.067,-0.85,0.9,0.26,100
90.0,0.052,0.18,-0.065,-1.0,0.3,0.77,-0.009,-0.062,-0.015,-0.18,0.77,-0.062,0.015,-0.055,-0.062,-0.8,1.0,0.18,100
95.0,0.047,0.1,-0.08,-1.2,0.56,0.68,-0.01,-0.057,-0.01,-0.13,0.68,-0.078,0.01,-0.073,-0.057,0.7,1.2,0.13,100
100.0,0.04,0.05,-0.085,-1.3,0.6,0.58,-0.011,-0.05,-0.005,-0.06,0.58,-0.08,0.005,-0.081,-0.05,-0.65,1.3,0.06,100
105.0,0.032,-0.02,-0.088,-1.3,0.66,0.48,-0.011,-0.043,0.0,0.0,0.48,-0.082,0.0,-0.09,-0.043,-0.55,1.3,0.0,100
110.0,0.025,-0.05,-0.085,-1.2,0.6,0.4,-0.011,-0.035,0.004,0.05,0.4,-0.08,-0.004,-0.09,-0.035,-0.5,1.2,-0.05,100
115.0,0.017,-0.08,-0.08,-1.0,0.54,0.35,-0.01,-0.027,0.006,0.07,0.35,-0.075,-0.006,-0.088,-0.027,-0.4,1.0,-0.07,100
120.0,0.01,-0.11,-0.072,-0.9,0.3,0.23,-0.01,-0.02,0.008,0.11,0.23,-0.065,-0.009,-0.08,-0.02,-0.3,0.9,-0.11,100
125.0,0.004,-0.13,-0.06,-0.8,0.2,0.15,-0.009,-0.015,0.009,0.12,0.15,-0.052,-0.01,-0.07,-0.015,-0.2,0.8,-0.12,100
130.0,0.0,-0.14,-0.05,-0.7,0.1,0.1,-0.008,-0.01,0.01,0.145,0.1,-0.04,-0.011,-0.06,-0.01,-0.05,0.7,-0.145,100
135.0,-0.005,-0.15,-0.04,-0.6,0.0,-0.02,-0.007,-0.004,0.011,0.15,-0.02,-0.03,-0.012,-0.05,-0.004,0.0,0.6,-0.15,100
140.0,-0.008,-0.15,-0.025,-0.5,0.0,-0.03,-0.006,0.0,0.011,0.15,-0.03,-0.02,-0.012,-0.04,0.0,0.03,0.5,-0.15,100
145.0,-0.01,-0.14,-0.01,-0.04,0.0,-0.11,-0.005,0.005,0.01,0.145,-0.11,-0.01,-0.011,-0.021,0.005,0.12,0.4,-0.145,100
150.0,-0.011,-0.13,0.0,-0.03,0.0,-0.16,-0.004,0.007,0.01,0.13,-0.16,0.0,-0.011,-0.006,0.007,0.2,0.3,-0.13,100
155.0,-0.011,-0.125,0.01,-0.02,0.0,-0.2,-0.003,0.009,0.009,0.12,-0.2,0.01,-0.01,0.006,0.009,0.22,0.2,-0.12,100
160.0,-0.01,-0.1,0.02,-0.01,0.0,-0.22,-0.002,0.01,0.009,0.1,-0.22,0.02,-0.01,0.02,0.01,0.25,0.1,-0.1,100
165.0,-0.009,-0.075,0.025,-0.05,0.0,-0.23,-0.002,0.009,0.008,0.08,-0.23,0.025,-0.009,0.022,0.009,0.28,0.05,-0.08,100
170.0,-0.006,-0.05,0.035,-0.03,0.0,-0.24,-0.001,0.007,0.008,0.05,-0.24,0.03,-0.009,0.025,0.007,0.29,0.03,-0.05,100
175.0,-0.003,-0.03,0.038,-0.01,0.0,-0.25,-0.001,0.004,0.007,0.02,-0.25,0.035,-0.008,0.029,0.004,0.3,0.01,-0.02,100
180.0,0.0,0.0,0.04,0.0,0.0,-0.25,0.0,0.0,0.007,0.0,-0.25,0.04,-0.008,0.03,0.0,0.3,0.0,0.0,100
0.0,-0.5,0.0,0.91,0.0,35.0,-2.3,0.0,0.5,0.13,0.0,-2.3,0.9,-0.13,0.78,0.5,3.2,0.0,0.0,300
5.0,-0.42,0.3,0.89,2.5,25.0,-2.1,0.01,0.43,0.09,-0.28,-2.1,0.89,-0.09,0.81,0.43,3.0,-2.5,0.28,300
10.0,-0.35,0.55,0.85,4.5,15.0,-1.8,0.016,0.36,0.055,-0.55,-1.8,0.85,-0.055,0.8,0.36,2.7,-4.5,0.55,300
15.0,-0.275,0.73,0.8,5.5,5.0,-1.4,0.019,0.28,0.027,-0.75,-1.4,0.8,-0.027,0.78,0.28,2.2,-5.5,0.75,300
20.0,-0.21,0.9,0.74,6.0,0.0,-0.9,0.02,0.23,0.003,-0.9,-0.9,0.73,-0.003,0.73,0.23,1.6,-6.0,0.9,300
25.0,-0.15,1.0,0.65,5.8,-5.0,-0.4,0.02,0.165,-0.015,-1.0,-0.4,0.65,0.015,0.67,0.165,1.0,-5.8,1.0,300
30.0,-0.095,1.07,0.55,5.3,-8.0,0.2,0.018,0.1,-0.025,-1.06,0.2,0.56,0.025,0.6,0.1,0.5,-5.3,1.06,300
35.0,-0.05,1.075,0.475,4.6,-9.5,0.6,0.016,0.06,-0.034,-1.075,0.6,0.47,0.034,0.49,0.06,-0.1,-4.6,1.075,300
40.0,-0.01,1.05,0.37,3.7,-10.2,1.0,0.012,0.021,-0.037,-1.05,1.0,0.37,0.037,0.4,0.021,-0.5,-3.7,1.05,300
45.0,0.018,0.97,0.275,2.5,-10.4,1.2,0.008,-0.01,-0.038,-0.98,1.2,0.29,0.038,0.32,-0.01,-0.8,-2.5,0.98,300
50.0,0.04,0.9,0.2,1.5,-10.5,1.4,0.005,-0.03,-0.037,-0.9,1.4,0.2,0.037,0.24,-0.03,-1.1,-1.5,0.9,300
55.0,0.05,0.77,0.125,0.6,-10.3,1.5,0.002,-0.05,-0.034,-0.8,1.5,0.13,0.034,0.16,-0.05,-1.25,-0.6,0.8,300
60.0,0.06,0.65,0.06,-0.1,-9.0,1.5,0.0,-0.06,-0.029,-0.7,1.5,0.06,0.029,0.1,-0.06,-1.4,0.1,0.7,300
65.0,0.062,0.525,0.02,-0.9,-9.0,1.45,-0.003,-0.065,-0.023,-0.55,1.45,0.01,0.023,0.03,-0.065,-1.4,0.9,0.55,300
70.0,0.06,0.4,-0.025,-1.2,-4.0,1.35,-0.005,-0.065,-0.017,-0.42,1.35,-0.03,0.017,-0.018,-0.065,-1.35,1.2,0.42,300
75.0,0.056,0.27,-0.05,-1.7,-2.0,1.2,-0.006,-0.062,-0.012,-0.3,1.2,-0.06,0.012,-0.05,-0.062,-1.25,1.7,0.3,300
80.0,0.05,0.2,-0.08,-1.9,-0.5,1.0,-0.007,-0.056,-0.006,-0.2,1.0,-0.08,0.006,-0.08,-0.056,-1.15,1.9,0.2,300
85.0,0.042,0.08,-0.1,-1.95,0.5,0.7,-0.007,-0.049,-0.003,-0.1,0.7,-0.095,0.003,-0.095,-0.049,-1.0,1.95,0.1,300
90.0,0.032,0.01,-0.102,-2.0,1.2,0.6,-0.007,-0.04,0.001,-0.025,0.6,-0.1,-0.001,-0.1,-0.04,-0.8,2.0,0.025,300
95.0,0.025,-0.05,-0.1,-1.95,1.8,0.5,-0.006,-0.032,0.005,0.04,0.5,-0.1,-0.005,-0.106,-0.032,-0.6,1.95,-0.04,300
100.0,0.017,-0.1,-0.095,-1.9,2.2,0.4,-0.006,-0.02,0.007,0.08,0.4,-0.093,-0.007,-0.1,-0.02,-0.45,1.9,-0.08,300
105.0,0.008,-0.13,-0.08,-1.7,2.3,0.2,-0.005,-0.013,0.009,0.12,0.2,-0.082,-0.009,-0.098,-0.013,-0.3,1.7,-0.12,300
110.0,0.0,-0.15,-0.07,-1.4,2.4,0.1,-0.004,-0.003,0.01,0.14,0.1,-0.07,-0.01,-0.09,-0.003,-0.2,1.4,-0.14,300
115.0,-0.005,-0.16,-0.06,-1.1,2.4,-0.05,-0.004,0.002,0.011,0.15,-0.05,-0.059,-0.011,-0.079,0.002,-0.1,1.1,-0.15,300
120.0,-0.011,-0.17,-0.041,-1.0,2.2,-0.1,-0.003,0.009,0.01,0.155,-0.1,-0.042,-0.01,-0.06,0.009,0.0,0.8,-0.155,300
125.0,-0.015,-0.16,-0.03,-0.5,2.0,-0.15,-0.002,0.011,0.009,0.15,-0.15,-0.032,-0.009,-0.05,0.011,0.1,0.5,-0.15,300
130.0,-0.016,-0.15,-0.02,-0.1,1.4,-0.2,-0.001,0.015,0.007,0.14,-0.2,-0.02,-0.007,-0.032,0.015,0.15,0.1,-0.14,300
135.0,-0.017,-0.13,-0.01,0.0,0.6,-0.2,0.0,0.017,0.006,0.125,-0.2,-0.01,-0.006,-0.015,0.017,0.2,0.0,-0.125,300
140.0,-0.018,-0.11,0.0,0.0,0.3,-0.15,0.0,0.018,0.005,0.11,-0.15,0.0,-0.005,0.0,0.018,0.2,0.0,-0.11,300
145.0,-0.017,-0.1,0.01,0.0,0.1,-0.1,0.0,0.019,0.003,0.09,-0.1,0.01,-0.003,0.01,0.019,0.2,0.0,-0.09,300
150.0,-0.016,-0.08,0.02,0.0,0.0,-0.05,0.001,0.018,0.002,0.08,-0.05,0.017,-0.002,0.02,0.018,0.2,0.0,-0.08,300
155.0,-0.014,-0.06,0.025,0.0,0.0,0.0,0.001,0.015,0.001,0.07,0.0,0.021,-0.001,0.022,0.015,0.15,0.0,-0.07,300
160.0,-0.01,-0.05,0.03,0.0,0.0,0.0,0.001,0.012,-0.001,0.05,0.0,0.025,0.001,0.03,0.012,0.1,0.0,-0.05,300
165.0,-0.009,-0.03,0.035,0.0,0.0,0.0,0.001,0.01,-0.002,0.04,0.0,0.03,0.002,0.035,0.01,0.1,0.0,-0.04,300
170.0,-0.008,-0.02,0.038,0.0,0.0,0.0,0.0,0.008,-0.002,0.02,0.0,0.038,0.002,0.038,0.008,0.1,0.0,-0.02,300
175.0,-0.004,-0.01,0.04,0.0,0.0,0.0,0.0,0.002,-0.003,0.01,0.0,0.04,0.003,0.04,0.002,0.1,0.0,-0.01,300
180.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.04,0.003,0.038,0.0,0.1,0.0,0.0,300
0.0,-0.5,0.0,1.08,0.0,100.0,-4.5,0.0,0.5,0.11,0.0,-4.5,1.09,-0.11,0.98,0.5,5.6,0.0,0.0,1000
5.0,-0.4,0.5,1.06,7.0,65.0,-4.2,0.007,0.415,0.07,-0.5,-4.2,1.07,-0.07,0.995,0.415,5.3,-7.0,0.5,1000
10.0,-0.31,0.9,1.0,11.2,30.0,-3.3,0.012,0.32,0.04,-0.9,-3.3,1.0,-0.04,0.97,0.32,4.5,-11.2,0.9,1000
15.0,-0.23,1.2,0.9,13.5,6.0,-2.25,0.013,0.245,0.01,-1.2,-2.25,0.91,-0.01,0.9,0.245,3.3,-13.5,1.2,1000
20.0,-0.16,1.45,0.8,13.0,-10.0,-1.0,0.013,0.17,-0.008,-1.45,-1.0,0.8,0.008,0.81,0.17,2.0,-13.0,1.45,1000
25.0,-0.095,1.54,0.67,12.0,-22.0,0.0,0.012,0.105,-0.023,-1.55,0.0,0.67,0.023,0.69,0.105,0.9,-12.0,1.55,1000
30.0,-0.04,1.55,0.525,10.0,-29.0,1.0,0.01,0.05,-0.028,-1.54,1.0,0.52,0.025,0.56,0.05,-0.4,-10.0,1.55,1000
35.0,0.0,1.475,0.4,7.2,-30.0,1.75,0.007,0.01,-0.03,-1.45,1.75,0.4,0.03,0.44,0.01,-1.2,-7.2,1.45,1000
40.0,0.028,1.32,0.26,4.8,-28.0,2.22,0.004,-0.02,-0.03,-1.3,2.22,0.28,0.03,0.32,-0.02,-1.9,-4.8,1.3,1000
45.0,0.045,1.15,0.17,2.0,-23.0,2.5,0.002,-0.04,-0.027,-1.15,2.5,0.16,0.027,0.2,-0.04,-2.2,-2.0,1.15,1000
50.0,0.053,0.95,0.075,0.0,-20.0,2.6,0.0,-0.055,-0.022,-0.95,2.6,0.07,0.022,0.1,-0.055,-2.5,0.0,0.95,1000
55.0,0.058,0.7,0.0,-1.8,-15.0,2.5,-0.001,-0.06,-0.017,-0.75,2.5,0.0,0.017,0.01,-0.06,-2.4,1.8,0.75,1000
60.0,0.057,0.52,-0.05,-3.0,-10.0,2.3,-0.003,-0.06,-0.012,-0.5,2.3,-0.06,0.012,-0.04,-0.06,-2.3,3.0,0.5,1000
65.0,0.05,0.325,-0.08,-3.8,-5.0,2.0,-0.004,-0.055,-0.006,-0.35,2.0,-0.09,0.006,-0.09,-0.055,-2.1,3.8,0.35,1000
70.0,0.041,0.15,-0.1,-4.2,0.0,1.5,-0.004,-0.05,-0.002,-0.18,1.5,-0.11,0.002,-0.11,-0.05,-1.7,4.2,0.18,1000
75.0,0.032,0.02,-0.11,-4.3,3.0,1.2,-0.004,-0.039,0.002,0.0,1.2,-0.12,-0.002,-0.12,-0.039,-1.2,4.3,0.0,1000
80.0,0.022,-0.08,-0.11,-4.0,5.0,0.8,-0.004,-0.03,0.005,0.08,0.8,-0.12,-0.005,-0.12,-0.03,-0.9,4.0,-0.08,1000
85.0,0.013,-0.15,-0.1,-3.5,7.0,0.6,-0.003,-0.018,0.006,0.15,0.6,-0.11,-0.006,-0.105,-0.018,-0.5,3.5,-0.15,1000
90.0,0.005,-0.2,-0.08,-3.0,8.0,0.3,-0.003,-0.01,0.007,0.2,0.3,-0.095,-0.007,-0.095,-0.01,-0.2,3.0,-0.2,1000
95.0,-0.003,-0.22,-0.07,-2.4,8.0,0.0,-0.002,0.0,0.008,0.21,0.0,-0.077,-0.008,-0.075,0.0,0.0,2.4,-0.21,1000
100.0,-0.008,-0.21,-0.05,-1.8,9.0,-0.2,-0.001,0.005,0.008,0.21,-0.2,-0.06,-0.008,-0.06,0.005,0.2,1.8,-0.21,1000
105.0,-0.01,-0.19,-0.03,-1.0,8.0,-0.3,-0.001,0.01,0.007,0.2,-0.3,-0.039,-0.007,-0.04,0.01,0.3,1.0,-0.2,1000
110.0,-0.012,-0.16,-0.01,-0.8,5.0,-0.35,-0.001,0.011,0.006,0.19,-0.35,-0.02,-0.006,-0.02,0.011,0.4,0.8,-0.19,1000
115.0,-0.014,-0.13,0.0,0.0,2.0,-0.4,0.0,0.012,0.005,0.15,-0.4,-0.008,-0.005,-0.01,0.012,0.45,0.0,-0.15,1000
120.0,-0.013,-0.1,0.01,0.2,0.0,-0.39,0.0,0.014,0.003,0.1,-0.39,0.0,-0.003,0.0,0.014,0.5,-0.2,-0.1,1000
125.0,-0.012,-0.06,0.02,0.4,0.0,-0.35,0.0,0.013,0.002,0.07,-0.35,0.009,-0.002,0.0,0.013,0.4,-0.4,-0.07,1000
130.0,-0.01,-0.03,0.022,0.7,0.0,-0.3,0.001,0.011,0.001,0.05,-0.3,0.014,-0.001,0.0,0.011,0.3,-0.7,-0.05,1000
135.0,-0.008,0.0,0.025,0.8,0.0,-0.2,0.001,0.01,0.0,0.02,-0.2,0.018,0.0,0.0,0.01,0.1,-0.8,-0.02,1000
140.0,-0.006,0.02,0.025,0.9,0.0,-0.1,0.001,0.007,0.0,0.0,-0.1,0.019,0.0,0.0,0.007,0.0,-0.9,0.0,1000
145.0,-0.004,0.03,0.02,0.8,0.0,0.0,0.001,0.004,0.0,-0.01,0.0,0.02,0.0,0.0,0.004,0.0,-0.8,0.01,1000
150.0,-0.002,0.05,0.015,0.8,0.0,0.0,0.001,0.0,0.0,-0.02,0.0,0.019,0.0,0.0,0.0,0.0,-0.8,0.02,1000
155.0,0.0,0.04,0.01,0.7,0.0,0.0,0.001,0.0,0.0,-0.01,0.0,0.019,0.0,0.0,0.0,0.0,-0.7,0.01,1000
160.0,0.0,0.04,0.008,0.6,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,-0.6,0.0,1000
165.0,0.0,0.03,0.005,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,-0.5,0.0,1000
170.0,0.0,0.02,0.001,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,-0.3,0.0,1000
175.0,0.0,0.01,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,-0.2,0.0,1000
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.0,-0.5,0.0,1.22,0.0,180.0,-6.6,0.0,0.5,0.094,0.0,-6.6,1.22,-0.094,1.11,0.5,7.8,0.0,0.0,2000
5.0,-0.404,0.65,1.17,11.5,105.0,-6.0,0.007,0.404,0.056,-0.7,-6.0,1.17,-0.056,1.12,0.405,7.25,-11.5,0.7,2000
10.0,-0.295,1.24,1.08,20.0,40.0,-4.7,0.01,0.302,0.027,-1.25,-4.7,1.1,-0.027,1.09,0.302,5.6,-20.0,1.25,2000
15.0,-0.206,1.64,0.97,21.5,0.0,-2.9,0.011,0.215,0.005,-1.65,-2.9,1.0,-0.005,0.98,0.215,4.0,-21.5,1.65,2000
20.0,-0.125,1.89,0.79,20.0,-30.0,-1.0,0.01,0.141,-0.013,-1.9,-1.0,0.8,0.013,0.9,0.141,1.8,-20.0,1.9,2000
25.0,-0.06,1.95,0.65,17.0,-45.0,0.7,0.009,0.075,-0.022,-1.97,0.7,0.65,0.022,0.68,0.075,0.0,-17.0,1.97,2000
30.0,-0.012,1.89,0.48,12.5,-50.0,2.1,0.007,0.015,-0.026,-1.9,2.1,0.48,0.026,0.52,0.015,-1.5,-12.5,1.9,2000
35.0,0.024,1.69,0.33,7.5,-47.0,3.0,0.004,-0.017,-0.026,-1.7,3.0,0.33,0.026,0.37,-0.017,-2.75,-7.5,1.7,2000
40.0,0.044,1.45,0.2,3.0,-42.0,3.4,0.002,-0.042,-0.024,-1.45,3.4,0.2,0.024,0.23,-0.042,-3.25,-3.0,1.45,2000
45.0,0.055,1.15,0.09,-0.5,-35.0,3.5,0.0,-0.056,-0.02,-1.16,3.5,0.09,0.02,0.09,-0.056,-3.4,0.5,1.16,2000
50.0,0.059,0.85,0.0,-3.0,-25.0,3.3,-0.001,-0.06,-0.015,-0.85,3.3,0.0,0.015,0.0,-0.06,-3.35,3.0,0.85,2000
55.0,0.056,0.55,-0.07,-5.2,-15.0,3.0,-0.002,-0.058,-0.01,-0.55,3.0,-0.07,0.01,-0.06,-0.058,-3.0,5.2,0.55,2000
60.0,0.048,0.3,-0.11,-6.2,-10.0,2.6,-0.003,-0.05,-0.004,-0.3,2.6,-0.1,0.004,-0.1,-0.05,-2.6,6.2,0.3,2000
65.0,0.037,0.08,-0.125,-6.7,0.0,2.0,-0.003,-0.04,-0.001,-0.1,2.0,-0.12,0.001,-0.12,-0.04,-2.1,6.7,0.1,2000
70.0,0.025,-0.07,-0.13,-6.5,8.0,1.4,-0.003,-0.03,0.003,0.05,1.4,-0.13,-0.003,-0.13,-0.03,-1.5,6.5,-0.05,2000
75.0,0.015,-0.17,-0.118,-6.0,10.0,0.9,-0.003,-0.02,0.005,0.1,0.9,-0.12,-0.005,-0.12,-0.02,-1.0,6.0,-0.1,2000
80.0,0.006,-0.23,-0.09,-5.0,12.0,0.4,-0.003,-0.01,0.006,0.23,0.4,-0.1,-0.006,-0.1,-0.01,-0.5,5.0,-0.23,2000
